All installed packages:
1password-beta 8.10.39_2.BETA-2
libgpg-error 1.50-1
libgphoto2 2.5.31-2
libgrss 0.7.0+16+g971c421-3
libgsf 1.14.52-1
libgtop 2.41.3-2
libgudev 238-1
libgusb 0.4.9-1
libgweather-4 4.4.2-1
libgxps 0.3.2-5
libhandy 1.8.3-1
libheif 1.18.2-1
libibus 1.5.30-3
libical 3.0.18-2
libice 1.1.1-3
libid3tag 0.16.3-2
libidn 1.42-1
libidn2 2.3.7-1
libiec61883 1.2.0-8
libieee1284 0.2.11-16
libilbc 3.0.4-3
libimagequant 4.3.1-1
libimobiledevice 1.3.0-13
libimobiledevice-glue 1.3.0-1
libindicator-gtk2 12.10.1-10
libindicator-gtk3 12.10.1-10
libinih 58-1
libinput 1.26.1-1
libinstpatch 1.1.6-3
libiptcdata 1.0.5-3
libisl 0.26-2
libjpeg-turbo 3.0.3-1
libjxl 0.10.3-1
libkeybinder3 0.3.2-5
libklvanc 1.6.0-1
libklvanc-debug 1.6.0-1
libksba 1.6.7-1
liblc3 1.1.1-1
libldac 2.0.2.3-2
libldap 2.6.8-1
libliftoff 0.5.0-1
liblouis 3.30.0-1
liblqr 0.4.2-4
liblrdf 0.6.1-5
libltc 1.3.2-2
libmad 0.15.1b-10
libmalcontent 0.12.0-1
libmanette 0.2.7-1
libmateweather 1.28.0-1
libmatroska 1.7.1-2
libmbim 1.30.0-1
libmd 1.1.0-2
libmediaart 1.9.6-3
libmediainfo 24.06-1
libmfx 23.2.2-3
libmicrodns 0.2.0-2
libmm-glib 1.22.0-1
libmms 0.6.4-5
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmpc 1.3.1-2
libmpcdec 1:0.1+r475-6
libmpeg2 0.5.1-10
libmspack 1:1.11-1
libmtp 1.1.21-2
libmypaint 1.6.1-2
libmysofa 1.3.2-1
libnatpmp 20230423-3
libnautilus-extension 47beta.1-1
libnbd 1.20.0-3
libndp 1.9-1
libnet 2:1.3-1
libnetfilter_conntrack 1.0.9-2
libnetfilter_cthelper 1.0.1-2
libnetfilter_cttimeout 1.0.1-2
libnetfilter_queue 1.0.5-2
libnewt 0.52.24-2
libnfnetlink 1.0.2-2
libnfs 5.0.3-1
libnftnl 1.2.7-1
libnghttp2 1.62.1-1
libnghttp3 1.4.0-1
libngtcp2 1.6.0-1
libnice 0.1.22-1
libnl 3.10.0-1
libnm 1.48.8-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnma-gtk4 1.10.6-3
libnotify 0.8.3-1
libnsl 2.0.1-1
libnvme 1.10-1
liboauth 1:1.0.3+r16+gc26f038-2
libogg 1.3.5-2
libomxil-bellagio 0.9.3-5
libopenmpt 0.7.9-1
libosinfo 1.11.0-3
libp11-kit 0.25.5-1
libpackagekit-glib 1.2.8-8
libpamac-full 1:11.6.4-1
libpamac-full-debug 1:11.6.4-1
libpanel 1.7.1-1
libpaper 2.2.5-1
libpcap 1.10.4-1
libpciaccess 0.18.1-2
libpeas 1.36.0-5
libpeas-2 2.0.3-1
libpgm 5.3.128-3
libphonenumber 1:8.13.42-1
libpipeline 1.5.7-2
libpipewire 1:1.2.2-1
libplacebo 7.349.0-1
libplist 2.6.0-1
libpng 1.6.43-1
libportal 0.7.1-3
libportal-gtk3 0.7.1-3
libportal-gtk4 0.7.1-3
libppd 2.0.0-2
libproxy 0.5.8-1
libpsl 0.21.5-2
libpst 0.6.76-10
libpulse 17.0-3
libpurple 2.14.13-1
libpwquality 1.4.5-5
libqalculate 5.2.0.1-1
libqmi 1.34.0-1
libqrtr-glib 1.2.2-3
librabbitmq-c 0.14.0-1
libraqm 0.10.1-2
libraw 0.21.2-1
libraw1394 2.1.2-4
librest 0.9.1-2
librist 0.2.10-3
librsvg 2:2.58.93-1
librsync 1:2.3.4-2
librttopo 1.1.0-6
libsamplerate 0.2.2-3
libsasl 2.1.28-4
libsass 3.6.6-1
libseccomp 2.5.5-3
libsecret 0.21.4-1
libshout 1:2.4.6-3
libshumate 1.3beta-1
libsigc++-3.0 3.6.0-1
libsigsegv 2.14-3
libslirp 4.8.0-1
libsm 1.2.4-2
libsndfile 1.2.2-2
libsodium 1.0.20-1
libsoup 2.74.3-1
libsoup3 3.4.4-1
libsoxr 0.1.3-4
libspatialite 5.1.0-2
libspectre 0.2.12-2
libspeechd 0.11.5-2
libspiro 1:20221101-3
libsrtp 1:2.6.0-1
libssh 0.11.0-1
libssh2 1.11.0-1
libstemmer 2.2.0-2
libsynctex 2024.2-2
libsysprof-capture 47beta-1
libtar 1.2.20-7
libtasn1 4.19.0-2
libteam 1.32-2
libthai 0.1.29-3
libtheora 1.1.1-6
libtiff 4.6.0-5
libtirpc 1.3.5-1
libtommath 1.3.0-1
libtool 2.5.1-2
libtorrent 0.13.8-4
libtorrent-rasterbar 1:2.0.10-2
libtraceevent 1:1.8.3-1
libtracefs 1.8.1-1
libunibreak 6.1-1
libunistring 1.2-1
libunwind 1.8.1-3
libupnp 1.14.19-3
liburcu 0.14.0-2
liburing 2.6-2
libusb 1.0.27-1
libusbmuxd 2.1.0-1
libutempter 1.2.1-4
libuv 1.48.0-2
libuvc 0.0.7-2
libuvc-debug 0.0.7-2
libva 2.22.0-1
libvdpau 1.5-3
libverto 0.3.2-5
libvirt 1:10.6.0-1
libvirt-glib 5.0.0-1
libvncserver 0.9.14-3
libvorbis 1.3.7-3
libvpl 2.12.0-1
libvpx 1.14.1-1
libwacom 2.12.2-1
libwbclient 4.20.4-1
libwebp 1.4.0-1
libwireplumber 0.5.5-1
libwmf 0.2.13-2
libwnck3 43.0-3
libwpe 1.16.0-1
libx11 1.8.10-1
libxau 1.0.11-3
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcm 0.5.3-1
libxcm-debug 0.5.3-1
libxcomposite 0.4.6-2
libxcrypt 4.4.36-2
libxcursor 1.2.2-1
libxcvt 0.1.2-2
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxdp 1.4.3-1
libxext 1.3.6-1
libxfce4ui 4.18.6-1
libxfce4util 4.18.2-1
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.8-2
libxi 1.8.1-2
libxinerama 1.1.5-2
libxkbcommon 1.7.0-2
libxkbcommon-x11 1.7.0-2
libxkbfile 1.1.3-1
libxml2 2.13.3-1
libxmlb 0.3.19-1
libxmlrpc 1:1.59.03-1
libxmu 1.2.1-1
libxpm 3.5.17-2
libxrandr 1.5.4-1
libxrender 0.9.11-2
libxres 1.2.2-2
libxshmfence 1.3.2-2
libxslt 1.1.42-1
libxss 1.2.4-2
libxt 1.3.0-2
libxtst 1.2.5-1
libxv 1.0.12-2
libxxf86vm 1.1.5-2
libyaml 0.2.5-3
libytnef 1:2.1.2-2
libyuv r2426+464c51a0-1
libzen 0.4.41-2
libzip 1.10.1-2
licenses 20240728-1
lightsoff 46.0-1
lilv 0.24.24-2
linux 6.10.3.arch1-2
linux-api-headers 6.10-1
linux-firmware 20240703.e94a2a3b-1
linux-firmware-whence 20240703.e94a2a3b-1
llvm-libs 18.1.8-4
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.32-1
localsearch 3.8beta-1
logrotate 3.22.0-1
loupe 47beta-1
lsd 1.1.2-1
lsof 4.99.3-2
lua 5.4.7-1
lua-lpeg 1.1.0-2
luajit 2.1.1720049189-1
lv2 1.18.10-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-2
make 4.4.1-2
malcontent 0.12.0-1
mallard-ducktype 1.0.2-11
man-db 2.12.1-1
mariadb-libs 11.4.2-1
mate-desktop 1.28.2-1
mate-menus 1.28.0-1
mate-panel 1.28.0-2
mate-power-manager 1.28.1-1
mbedtls 3.6.0-1
mbedtls2 2.28.8-3
md4c 0.5.2-1
mdadm 4.3-2
media-player-info 24-4
mediainfo 24.06-1
mediamtx-bin 1.8.3-1
mercurial 6.8-1
mesa 1:24.1.5-1
mesa-utils 9.0.0-4
meson 1.5.1-1
miniupnpc 2.2.8-1
minizip 1:1.3.1-2
mjpegtools 2.2.1-2
mkinitcpio 39.2-2
mkinitcpio-busybox 1.36.1-1
mktorrent 1.1-7
mobile-broadband-provider-info 20240407-1
mod_dnssd 0.6-9
mod_scgi 2.2-1
mod_scgi-debug 2.2-1
modemmanager 1.22.0-1
mpdecimal 4.0.0-2
mpfr 4.2.1-4
mpg123 1.32.7-1
msgraph 0.2.3-2
mtdev 1.1.7-1
mtools 1:4.0.44-1
mtr 0.95-5
mutter 47beta-1
mypaint-brushes1 1.3.1-2
nano 8.1-1
nasm 2.16.03-1
nautilus 47beta.1-1
nautilus-admin-gtk4 1.2.0.r0.g3cad8df-1
ncurses 6.5-3
ndctl 79-1
neon 0.33.0-1
nerd-fonts-complete-mono-glyphs 2.1.0-1
net-snmp 5.9.4-4
net-tools 2.10-2
netpbm 10.86.42-1
nettle 3.10-1
network-manager-applet 1.36.0-1
networkmanager 1.48.8-1
nftables 1:1.1.0-2
nftables-geoip-db 2.2-12
nginx 1.26.1-1
ninja 1.12.1-1
nm-connection-editor 1.36.0-1
node-gyp 10.2.0-1
nodejs 22.6.0-1
nodejs-nativefier 52.0.0-1
nodejs-nopt 7.2.0-2
noto-fonts 1:24.8.1-1
noto-fonts-emoji 1:2.042-1
npm 10.8.2-1
npth 1.7-1
nspr 4.35-3
nss 3.103-1
nss-mdns 0.15.1-2
numactl 2.0.18-1
numlockx 1.2-6
nvidia-utils 555.58.02-1
ocean-sound-theme 6.1.4-1
ocl-icd 2.3.2-2
octopi 0.16.2-1
okcupid-pidgin-git r105.b2ff1ec-1
okcupid-pidgin-git-debug r105.b2ff1ec-1
onetbb 2021.13.0-1
oniguruma 6.9.9-1
openal 1.23.1-2
opencl-clhpp 2024.05.08-1
opencl-headers 2:2024.05.08-1
opencl-nvidia 555.58.02-1
opencore-amr 0.1.6-2
opencv-cuda 4.10.0-4
opencv-samples 4.10.0-4
opendoas 6.8.2-3
openexr 3.2.4-1
openh264 2.4.1-1
openjpeg2 2.5.2-1
openssh 9.8p1-1
openssl 3.3.1-1
optipng 0.7.8-1
opus 1.5.2-1
opusfile 0.12-4
orc 0.4.39-1
orca 47alpha-1
osinfo-db 20240701-1
ostree 2024.7-1
oxygen-sounds 6.1.4-1
p11-kit 0.25.5-1
p7zip 1:17.05-2
p7zip-full-bin-debug 23.01-2
p7zip-gui 16.02-9
p7zip-gui-debug 16.02-9
packagekit 1.2.8-8
pacman 6.1.0-3
pacman-contrib 1.10.6-1
pacman-mirrorlist 20240717-1
pam 1.6.1-2
pamac-all-git 1:1.7.1.r1.g61b7570-1
pambase 20230918-1
pamixer 1.6-3
pandoc-cli 0.1.1.1-116
pango 1:1.54.0-1
pangomm-2.48 2.54.0-1
parted 3.6-2
paru 2.0.3-1
paru-debug 2.0.3-1
pastebinit 1.5.1-2
patch 2.7.6-10
patchelf 0.18.0-3
patchutils 0.4.2-3
pciutils 3.13.0-1
pcp 6.3.0-1
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.0-1
perl 5.38.2-2
perl-clone 0.46-3
perl-encode-locale 1.05-12
perl-error 0.17029-6
perl-file-listing 6.16-3
perl-html-parser 3.82-1
perl-html-tagset 3.24-1
perl-http-cookiejar 0.014-2
perl-http-cookies 6.11-1
perl-http-daemon 6.16-3
perl-http-date 6.06-2
perl-http-message 6.46-1
perl-http-negotiate 6.01-13
perl-io-html 1.004-5
perl-libwww 6.77-1
perl-lwp-mediatypes 6.04-5
perl-mailtools 2.21-8
perl-net-cidr-lite 0.22-5
perl-net-http 6.23-3
perl-sub-exporter-progressive 0.001013-10
perl-text-csv-xs 1.55-1
perl-timedate 2.33-6
perl-try-tiny 0.31-4
perl-uri 5.28-1
perl-www-robotrules 6.02-13
perl-xml-parser 2.47-1
phodav 3.0-3
php 8.3.10-1
php-geoip 1.1.1-12
pidgin 2.14.13-1
pigz 2.8-2
pinentry 1.3.1-5
pipewire 1:1.2.2-1
pipewire-alsa 1:1.2.2-1
pipewire-audio 1:1.2.2-1
pipewire-pulse 1:1.2.2-1
pipewire-session-manager 1:1.2.2-1
pixman 0.43.4-1
pkgconf 2.1.1-1
pkgfile 22-1
plasma-workspace-wallpapers 6.1.4-1
plocate 1.1.22-1
plymouth 24.004.60-8
polari 46.0-1
polkit 124-2
poppler 24.08.0-1
poppler-data 0.4.12-2
poppler-glib 24.08.0-1
popt 1.19-1
portaudio 1:19.7.0-3
portmidi 1:2.0.4-2
postgresql-libs 16.3-3
potrace 1.16-3
power-profiles-daemon 0.21-1
powerkit 1.0.0-8
powerkit-debug 1.0.0-8
ppp 2.5.0-3
procps-ng 4.0.4-3
proj 9.4.1-1
protobuf 27.3-1
protobuf-c 1.5.0-4
psmisc 23.7-1
pugixml 1.14-1
pulse-native-provider 1:1.2.2-1
purple-facebook-git 0.9.6.r8.g1a6711f-1
purple-facebook-git-debug 0.9.6.r8.g1a6711f-1
python 3.12.4-1
python-acme 2.11.0-1
python-annotated-types 0.7.0-1
python-anyio 4.4.0-1
python-argcomplete 3.4.0-1
python-asttokens 2.4.1-2
python-async-timeout 4.0.3-4
python-atspi 2.46.1-2
python-attrs 23.2.0-3
python-authlib 1.3.1-1
python-autocommand 2.2.2-6
python-automat 22.10.0-5
python-babel 2.15.0-1
python-bcrypt 4.1.3-1
python-beautifulsoup4 4.12.3-2
python-bleach 6.1.0-2
python-brotli 1.1.0-2
python-build 1.2.1-3
python-cairo 1.26.1-1
python-canonicaljson 2.0.0-3
python-capng 0.8.5-2
python-certifi 2024.07.04-1
python-cffi 1.16.0-2
python-chardet 5.2.0-2
python-charset-normalizer 3.3.2-2
python-click 8.1.7-3
python-cloudscraper 1.2.71-2
python-colorama 0.4.6-3
python-configargparse 1.5.5-2
python-configobj 5.0.8-5
python-constantly 23.10.0-2
python-cryptography 42.0.6-1
python-dateutil 2.9.0-5
python-dbus 1.3.2-4
python-dbusmock 0.31.1-2
python-decorator 5.1.1-4
python-defusedxml 0.7.1-6
python-distlib 0.3.8-2
python-distro 1.9.0-2
python-docutils 1:0.21.2-1
python-elementpath 4.4.0-2
python-evdev 1.7.1-1
python-executing 2.0.0-3
python-fasteners 0.19-3
python-fastjsonschema 2.20.0-1
python-filelock 3.13.3-2
python-geoip 1.3.2-15
python-geoipsets 2.3.6-2
python-gobject 3.48.2-2
python-hiredis 2.3.2-1
python-httplib2 0.22.0-5
python-hyperlink 21.0.0-6
python-idna 3.7-1
python-ifaddr 0.2.0-5
python-ijson 3.2.3-2
python-imagesize 1.4.1-5
python-immutabledict 4.2.0-1
python-incremental 22.10.0-5
python-inflect 7.3.1-1
python-iniconfig 2.0.0-5
python-installer 0.7.0-8
python-iptables 1.0.1-1
python-iptables-debug 1.0.1-1
python-jaraco.context 5.3.0-1
python-jaraco.functools 4.0.2-1
python-jaraco.text 4.0.0-1
python-jedi 0.19.1-2
python-jinja 1:3.1.4-1
python-josepy 1.14.0-2
python-js2py 0.72-5
python-jsonschema 4.23.0-1
python-jsonschema-specifications 2023.12.1-2
python-lxml 5.2.2-1
python-magic 1:0.4.27-4
python-mako 1.3.5-1
python-markdown 3.6-3
python-markupsafe 2.1.5-2
python-matplotlib-inline 0.1.7-1
python-matrix-common 1.3.0-5
python-more-itertools 10.3.0-1
python-msgpack 1.0.5-2
python-nautilus 4.0-3
python-netaddr 1.2.1-1
python-netifaces 0.11.0-5
python-numpy 2.0.1-1
python-ordered-set 4.1.0-5
python-packaging 24.1-1
python-parsedatetime 2.6-9
python-parso 1:0.8.4-2
python-pexpect 4.9.0-2
python-phonenumbers 8.13.40-1
python-pillow 10.4.0-1
python-pip 24.1.2-1
python-platformdirs 4.2.2-1
python-pluggy 1.5.0-1
python-prometheus_client 0.20.0-2
python-prompt_toolkit 3.0.47-1
python-psutil 6.0.0-1
python-psycopg2 2.9.9-2
python-ptyprocess 0.7.0-6
python-pure-eval 0.2.3-1
python-pyalsa 1.2.12-1
python-pyaml 24.7.0-1
python-pyasn1 0.6.0-1
python-pyasn1-modules 0.4.0-1
python-pycparser 2.22-2
python-pycups 2.0.4-2
python-pycurl 7.45.3-1
python-pydantic 2.8.2-1
python-pydantic-core 1:2.20.1-1
python-pygame 2.6.0-1
python-pygdbmi 0.11.0.0-4
python-pygments 2.18.0-1
python-pyicu 2.12-5
python-pyjsparser 2.7.1-13
python-pyjwt 2.9.0-1
python-pymacaroons 0.13.0-12
python-pynacl 1.5.0-2
python-pyopenssl 24.1.0-1
python-pyparsing 3.1.2-2
python-pyproject-hooks 1.1.0-1
python-pyqt5 5.15.11-1
python-pyqt5-sip 12.15.0-1
python-pyrfc3339 1.1-13
python-pysaml2 7.5.0-2
python-pysmbc 1.0.25.1-3
python-pytest 1:8.3.2-1
python-python-multipart 0.0.9-1
python-pytz 2024.1-2
python-pyudev 0.24.3-1
python-pyxdg 0.28-3
python-referencing 0.35.1-1
python-rencode 1.0.6-9
python-requests 2.32.3-1
python-requests-toolbelt 1.0.0-2
python-responses 0.25.2-1
python-rjsmin 1.2.2-2
python-rpds-py 0.19.0-1
python-send2trash 1.8.2-2
python-sentry_sdk 2.12.0-1
python-service-identity 23.1.0-2
python-setproctitle 1.3.3-2
python-setuptools 1:69.5.1-1
python-signedjson 1.1.4-3
python-six 1.16.0-9
python-smartypants 2.0.1-12
python-sniffio 1.3.1-3
python-snowballstemmer 2.2.0-6
python-sortedcontainers 2.4.0-6
python-soupsieve 2.5-3
python-sphinx 7.4.7-1
python-sphinx-alabaster-theme 0.7.16-2
python-sphinxcontrib-applehelp 2.0.0-1
python-sphinxcontrib-devhelp 2.0.0-2
python-sphinxcontrib-htmlhelp 2.1.0-1
python-sphinxcontrib-jsmath 1.0.1-17
python-sphinxcontrib-qthelp 2.0.0-1
python-sphinxcontrib-serializinghtml 2.0.0-1
python-stack-data 0.6.3-2
python-starlette 0.38.2-1
python-systemd 235-3
python-tomli 2.0.1-4
python-tqdm 4.66.5-1
python-traitlets 5.14.3-2
python-treq 23.11.0-2
python-trove-classifiers 2024.7.2-1
python-twisted 24.3.0-2
python-txredisapi 1.4.7-6
python-typeguard 4.3.0-1
python-typing_extensions 4.12.2-1
python-typogrify 2.0.7-15
python-unpaddedbase64 2.1.0-6
python-urllib3 1.26.19-1
python-validate-pyproject 0.18-1
python-virtualenv 20.26.2-1
python-wcwidth 0.2.13-2
python-webencodings 0.5.1-11
python-wheel 0.44.0-1
python-wxpython 1:4.2.1-2
python-xlib 0.33-3
python-xmlschema 1:2.5.1-2
python-yaml 6.0.1-4
python-zeroconf 0.132.2-1
python-zope-interface 6.3-1
qemu-audio-alsa 9.0.2-1
qemu-audio-dbus 9.0.2-1
qemu-audio-jack 9.0.2-1
qemu-audio-oss 9.0.2-1
qemu-audio-pa 9.0.2-1
qemu-audio-pipewire 9.0.2-1
qemu-audio-sdl 9.0.2-1
qemu-audio-spice 9.0.2-1
qemu-base 9.0.2-1
qemu-block-curl 9.0.2-1
qemu-block-dmg 9.0.2-1
qemu-block-nfs 9.0.2-1
qemu-block-ssh 9.0.2-1
qemu-chardev-spice 9.0.2-1
qemu-common 9.0.2-1
qemu-desktop 9.0.2-1
qemu-hw-display-qxl 9.0.2-1
qemu-hw-display-virtio-gpu 9.0.2-1
qemu-hw-display-virtio-gpu-gl 9.0.2-1
qemu-hw-display-virtio-gpu-pci 9.0.2-1
qemu-hw-display-virtio-gpu-pci-gl 9.0.2-1
qemu-hw-display-virtio-vga 9.0.2-1
qemu-hw-display-virtio-vga-gl 9.0.2-1
qemu-hw-usb-host 9.0.2-1
qemu-hw-usb-redirect 9.0.2-1
qemu-hw-usb-smartcard 9.0.2-1
qemu-img 9.0.2-1
qemu-system-x86 9.0.2-1
qemu-system-x86-firmware 9.0.2-1
qemu-ui-curses 9.0.2-1
qemu-ui-dbus 9.0.2-1
qemu-ui-egl-headless 9.0.2-1
qemu-ui-gtk 9.0.2-1
qemu-ui-opengl 9.0.2-1
qemu-ui-sdl 9.0.2-1
qemu-ui-spice-app 9.0.2-1
qemu-ui-spice-core 9.0.2-1
qemu-vhost-user-gpu 9.0.2-1
qhull 2020.2-5
qpdf 11.9.1-1
qqwing 1.3.4-7
qrencode 4.1.1-3
qt-sudo 2.0.1-1
qt-sudo-debug 2.0.1-1
qt5-base 5.15.14+kde+r143-1
qt5-declarative 5.15.14+kde+r28-1
qt5-location 5.15.14+kde+r7-1
qt5-remoteobjects 5.15.14-1
qt5-svg 5.15.14+kde+r5-1
qt5-tools 5.15.14+kde+r4-2
qt5-translations 5.15.14-1
qt5-webchannel 5.15.14+kde+r3-1
qt5-x11extras 5.15.14-1
qt6-5compat 6.7.2-1
qt6-base 6.7.2-1
qt6-declarative 6.7.2-1
qt6-shadertools 6.7.2-1
qt6-tools 6.7.2-2
qt6-translations 6.7.2-1
qtermwidget 2.0.1-1
quadrapassel 40.2-2
quirc 1.2-2
quirc-debug 1.2-2
r 4.4.1-1
r-biocmanager 1.30.23-1
r-brew 1.0.10-3
r-brio 1.1.5-1
r-brio-debug 1.1.5-1
r-cli 3.6.3-1
r-cli-debug 3.6.3-1
r-curl 5.2.1-1
r-curl-debug 5.2.1-1
r-glue 1.7.0-2
r-glue-debug 1.7.0-2
r-jsonlite 1.8.8-2
r-jsonlite-debug 1.8.8-2
r-lifecycle 1.0.4-2
r-magrittr 2.0.3-3
r-magrittr-debug 2.0.3-3
r-matrixmodels 0.5.3-2
r-praise 1.0.0-4
r-prettyunits 1.2.0-3
r-quantreg 5.98-1
r-quantreg-debug 5.98-1
r-r6 2.5.1-4
r-rcolorbrewer 1.1.3-1
r-rlang 1.1.4-1
r-rlang-debug 1.1.4-1
r-rprojroot 2.0.4-1
r-sparsem 1.84.2-1
r-sparsem-debug 1.84.2-1
r-sysfonts 0.8.9-2
r-sysfonts-debug 0.8.9-2
r-vctrs 0.6.5-1
r-vctrs-debug 0.6.5-1
raptor 2.0.16-5
rav1e 0.7.1-1
re2c 3.1-2
readline 8.2.013-1
rest 0.8.1+r4+ge5ee6ef-1
retro-gtk 1.0.2-4
rhash 1.4.4-1
rhythmbox 3.4.7-2
ripgrep 14.1.0-1
rnnoise 1:0.2-1
rtkit 0.13-3
rtmpdump 1:2.4.r105.6f6bb13-1
rtorrent 0.9.8-6
rubberband 3.3.0-2
ruby 3.2.4-1
ruby-acme-client 2.0.16-1
ruby-addressable 2.8.6-2
ruby-bundled-gems 3.2.4-1
ruby-bundler 2.5.11-2
ruby-colorize 1.0.4-2
ruby-connection_pool 2.4.1-2
ruby-crack 1.0.0-2
ruby-cucumber-gherkin 28.0.0-2
ruby-cucumber-messages 25.0.1-2
ruby-debug 1.7.1-1
ruby-default-gems 3.2.4-1
ruby-diff-lcs 1.5.1-1
ruby-erb 4.0.4-4
ruby-faraday 2.10.1-2
ruby-faraday-em_http 1.0.0-2
ruby-faraday-em_synchrony 1.0.0-2
ruby-faraday-excon 1.1.0-2
ruby-faraday-httpclient 2.0.1-4
ruby-faraday-net_http 3.2.0-2
ruby-faraday-net_http_persistent 2.1.0-1
ruby-faraday-patron 2.0.1-3
ruby-faraday-rack 2.0.0-1
ruby-faraday-retry 1.0.3-4
ruby-hashdiff 1.1.0-2
ruby-httpclient 2.8.3-10
ruby-irb 1.6.2-2
ruby-matrix 0.4.2-1
ruby-minitest 5.22.3-1
ruby-multipart-parser 0.1.1-3
ruby-multipart-post 2.3.0-3
ruby-net-ftp 0.3.5-2
ruby-net-http-persistent 4.0.2-2
ruby-net-imap 0.4.12-1
ruby-net-pop 0.1.2-1
ruby-net-smtp 0.5.0-2
ruby-patron 0.13.3-3
ruby-power_assert 2.0.3-3
ruby-prime 0.1.2-1
ruby-public_suffix 5.0.5-3
ruby-racc 1.6.2-1
ruby-rack 3.0.9.1-1
ruby-rake 13.0.6-3
ruby-rbs 3.4.4-2
ruby-rdoc 6.5.1.1-2
ruby-rexml 3.2.6-2
ruby-rspec 3.13.0-1
ruby-rspec-core 3.13.0-1
ruby-rspec-expectations 3.13.1-1
ruby-rspec-mocks 3.13.1-1
ruby-rspec-support 3.13.1-1
ruby-rss 0.3.0-2
ruby-safe_yaml 1.0.5-3
ruby-stdlib 3.2.4-1
ruby-test-unit 3.6.1-3
ruby-thor 1.3.1-1
ruby-typeprof 0.21.8-1
ruby-webmock 3.19.1-2
rubygems 3.4.19-1
runc 1.1.13-1
rust 1:1.80.1-1
rygel 1:0.42.6-1
sane 1.3.1-1
sassc 3.6.2-5
sbc 2.0-2
sdl12-compat 1.2.68-2
sdl2 2.30.6-1
sdl2_image 2.8.2-4
sdl2_mixer 2.8.0-1
sdl2_ttf 2.22.0-1
seabios 1.16.3-1
seahorse 1:43.0-3
seatd 0.8.0-2
sed 4.9-3
semver 7.6.3-1
serd 0.32.2-1
shaderc 2024.1-1
shadow 4.16.0-1
shared-mime-info 2.4-1
shellcheck 0.10.0-8
signal-desktop 7.19.0-1
simple-scan 46.0-1
slack-desktop 4.39.88-1
slang 2.3.3-3
smartmontools 7.4-2
smbclient 4.20.4-1
snapd 2.63-1
snapd-glib 1.63-1
snapd-glib-debug 1.63-1
snappy 1.1.10-1
snapshot 47alpha-1
sndio 1.10.0-1
socat 1.8.0.0-2
solaar 1.1.13-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-6
soundtouch 2.3.3-1
source-highlight 3.1.9-12
sox 14.4.2+r184+gf3094754-1
spandsp 0.0.6-5
spdlog 1.14.1-1
speech-dispatcher 0.11.5-2
speedtest++ 1.15.r72.b743996-1
speedtest++-debug 1.15.r72.b743996-1
speedtest-cli 2.1.3-8
speex 1.2.1-2
speexdsp 1.2.1-2
spice 0.15.2-1
spice-gtk 0.42-4
spice-protocol 0.14.4-2
spirv-tools 2024.2-1
sqlite 3.46.0-1
squashfs-tools 4.6.1-2
sratom 0.6.16-1
srt 1.5.3-2
starship 1.20.1-1
startup-notification 0.12-8
sudo 1.9.15.p5-2
suitesparse 7.7.0-2
sushi 46.0-1
svt-av1 2.1.2-1
svt-hevc 1.5.1-3
svt-vp9 0.3.0-3
swell-foop 46.0-1
sysprof 47beta-1
system-config-printer 1.5.18-4
systemd 256.4-1
systemd-libs 256.4-1
systemd-sysvcompat 256.4-1
taglib 2.0.1-1
tailscaledesktop 1.0.3-1
tali 40.9-2
talloc 2.4.2-3
tar 1.35-2
tcl 8.6.14-4
tdb 1.4.12-1
tecla 46.0-1
telegram-purple 1.4.7-1
telegram-purple-debug 1.4.7-1
telepathy-glib 0.24.2-4
telepathy-idle 0.2.2-3
telepathy-logger 0.8.2-7
telepathy-mission-control 5.16.6-4
template-glib 3.36.2-1
tesseract 5.4.1-1
tesseract-data-afr 2:4.1.0-4
tesseract-data-osd 2:4.1.0-4
tevent 1:0.16.1-3
texinfo 7.1-2
texlive-basic 2024.2-2
texlive-bin 2024.2-2
texlive-fontsrecommended 2024.2-2
texlive-latex 2024.2-2
texlive-latexextra 2024.2-2
texlive-latexrecommended 2024.2-2
texlive-pictures 2024.2-2
texlive-plaingeneric 2024.2-2
tinysparql 3.8beta-1
tinyxml2 10.0.0-1
tk 8.6.14-4
tomlplusplus 3.4.0-1
totem-pl-parser 3.26.6+r30+g51b8439-1
tpm2-tss 4.0.1-1
traceroute 2.1.5-1
transmission-gtk 4.0.6-2
tree-sitter-markdown 0.2.3-2
tslib 1.23-1
ttf-bitstream-vera 1.10-16
ttf-font-awesome 6.6.0-1
ttf-hack 3.003-7
ttf-liberation 2.1.5-2
twolame 0.4.0-4
tzdata 2024a-2
uchardet 0.0.8-3
udisks2 2.10.1-4
ufw 0.36.2-4
ufw-docker 210925-1
ufw-extras 1.1.0-2
ufw-icon-bar 1:r15.gbf67a93-1
unixodbc 2.3.12-2
unrar 1:7.0.9-1
